Date,Time,Average,Peak
8/09/2015,8:51:36,52.827371,53.958259
8/09/2015,8:51:36,52.346497,54.552682
8/09/2015,8:51:36,54.433616,54.433616
8/09/2015,8:51:36,57.486511,57.94333
8/09/2015,8:51:36,54.843464,54.843464
8/09/2015,8:51:36,54.929026,56.054516
8/09/2015,8:51:36,62.197974,68.050527
8/09/2015,8:51:37,55.902411,57.321188
8/09/2015,8:51:37,57.976543,61.999081
8/09/2015,8:51:37,60.909771,61.912606
8/09/2015,8:51:37,55.503539,57.469956
8/09/2015,8:51:37,61.318303,61.318303
8/09/2015,8:51:37,57.201371,58.03652
8/09/2015,8:51:37,56.161201,58.201699
8/09/2015,8:51:37,55.379836,56.041768
8/09/2015,8:51:37,61.628732,72.031458
8/09/2015,8:51:38,52.817797,55.09819
8/09/2015,8:51:38,52.930485,63.791143
8/09/2015,8:51:38,51.714902,52.812396
8/09/2015,8:51:38,69.780182,71.498553
8/09/2015,8:51:38,57.56561,61.511272
8/09/2015,8:51:38,62.13675,64.895795
8/09/2015,8:51:38,56.856768,58.665035
8/09/2015,8:51:38,55.903053,56.438839
8/09/2015,8:51:38,59.413245,62.424788
8/09/2015,8:51:39,58.396258,59.835962
8/09/2015,8:51:39,58.80229,60.583683
8/09/2015,8:51:39,53.426435,53.426435
8/09/2015,8:51:39,57.88051,58.531655
8/09/2015,8:51:39,57.41739,59.714528
8/09/2015,8:51:39,60.35541,64.2228
8/09/2015,8:51:39,52.086976,54.386675
8/09/2015,8:51:39,53.795415,55.794766
8/09/2015,8:51:39,60.248331,61.927743
8/09/2015,8:51:40,57.533765,60.052111
8/09/2015,8:51:40,56.697577,63.422619
8/09/2015,8:51:40,53.87036,57.735098
8/09/2015,8:51:40,56.444854,57.222181
8/09/2015,8:51:40,59.46474,59.695886
8/09/2015,8:51:40,57.350782,57.351915
8/09/2015,8:51:40,57.204593,57.204593
8/09/2015,8:51:40,53.1405,57.301005
8/09/2015,8:51:40,63.022285,63.478331
8/09/2015,8:51:41,61.685512,61.685512
8/09/2015,8:51:41,55.675356,55.675356
8/09/2015,8:51:41,52.021388,53.939376
8/09/2015,8:51:41,53.077909,53.255102
8/09/2015,8:51:41,53.753672,56.237589
8/09/2015,8:51:41,52.776414,54.046034
8/09/2015,8:51:41,53.022865,55.001138
8/09/2015,8:51:41,52.091444,53.541765
8/09/2015,8:51:42,54.033256,54.033256
8/09/2015,8:51:42,56.785839,56.785839
8/09/2015,8:51:42,57.076633,57.191276
8/09/2015,8:51:42,56.74107,58.55628
8/09/2015,8:51:42,59.451372,59.451372
8/09/2015,8:51:42,58.627367,58.757246
8/09/2015,8:51:42,58.591141,60.374964
8/09/2015,8:51:42,60.033576,60.370198
8/09/2015,8:51:42,58.661515,59.238371
8/09/2015,8:51:43,60.842218,60.947797
8/09/2015,8:51:43,64.599439,68.613405
8/09/2015,8:51:43,61.862438,63.167463
8/09/2015,8:51:43,60.191902,60.415896
8/09/2015,8:51:43,57.867506,60.507192
8/09/2015,8:51:43,58.616848,60.460808
8/09/2015,8:51:43,59.933523,60.109461
